team_1,team_2,score,link
Салават Юлаев,Ак Барс,1:2,https://www.khl.ru/game/1369/897884/resume/
СКА,Спартак,1:2,https://www.khl.ru/game/1369/897885/resume/
Локомотив,Авангард,0:3,https://www.khl.ru/game/1369/897886/resume/
Сибирь,Адмирал,2:3,https://www.khl.ru/game/1369/897881/resume/
Драконы,Лада,2:4,https://www.khl.ru/game/1369/897882/resume/
Трактор,Металлург Мг,4:7,https://www.khl.ru/game/1369/897883/resume/
Динамо М,Барыс,2:4,https://www.khl.ru/game/1369/897875/resume/
Нефтехимик,Авангард,0:3,https://www.khl.ru/game/1369/897876/resume/
Локомотив,ЦСКА,2:1 Б,https://www.khl.ru/game/1369/897877/resume/
Северсталь,Салават Юлаев,1:2,https://www.khl.ru/game/1369/897878/resume/
Автомобилист,Динамо Мн,3:2 Б,https://www.khl.ru/game/1369/897879/resume/
СКА,Ак Барс,3:2,https://www.khl.ru/game/1369/897893/resume/
Амур,Адмирал,3:1,https://www.khl.ru/game/1369/897873/resume/
ХК Сочи,Металлург Мг,1:6,https://www.khl.ru/game/1369/897874/resume/
Динамо М,Спартак,1:0,https://www.khl.ru/game/1369/897865/resume/
Локомотив,Динамо Мн,3:2 Б,https://www.khl.ru/game/1369/897866/resume/
Ак Барс,Салават Юлаев,6:3,https://www.khl.ru/game/1369/897867/resume/
Автомобилист,Барыс,1:4,https://www.khl.ru/game/1369/897868/resume/
Сибирь,Авангард,4:2,https://www.khl.ru/game/1369/897869/resume/
СКА,Драконы,4:1,https://www.khl.ru/game/1369/897870/resume/
Лада,ЦСКА,2:4,https://www.khl.ru/game/1369/897871/resume/
Нефтехимик,Торпедо,2:5,https://www.khl.ru/game/1369/897872/resume/
Нефтехимик,Ак Барс,1:3,https://www.khl.ru/game/1369/897859/resume/
Салават Юлаев,ЦСКА,1:3,https://www.khl.ru/game/1369/897860/resume/
Авангард,Спартак,7:5,https://www.khl.ru/game/1369/897861/resume/
Трактор,Динамо М,4:8,https://www.khl.ru/game/1369/897862/resume/
Лада,Северсталь,2:3,https://www.khl.ru/game/1369/897863/resume/
Барыс,Сибирь,1:2 Б,https://www.khl.ru/game/1369/897864/resume/
СКА,Амур,3:4 Б,https://www.khl.ru/game/1369/897941/resume/
Адмирал,Локомотив,1:3,https://www.khl.ru/game/1369/897857/resume/
Амур,СКА,1:2 ОТ,https://www.khl.ru/game/1369/897858/resume/
Трактор,ЦСКА,2:3,https://www.khl.ru/game/1369/897850/resume/
Салават Юлаев,Ак Барс,4:1,https://www.khl.ru/game/1369/897851/resume/
Драконы,Торпедо,3:4 Б,https://www.khl.ru/game/1369/897852/resume/
Нефтехимик,Металлург Мг,2:1 ОТ,https://www.khl.ru/game/1369/897853/resume/
Лада,Динамо М,2:4,https://www.khl.ru/game/1369/897854/resume/
Автомобилист,Северсталь,4:1,https://www.khl.ru/game/1369/897855/resume/
Барыс,Спартак,4:3 ОТ,https://www.khl.ru/game/1369/897856/resume/
Авангард,ХК Сочи,5:2,https://www.khl.ru/game/1369/897847/resume/
Амур,Локомотив,0:3,https://www.khl.ru/game/1369/897848/resume/
Адмирал,СКА,1:3,https://www.khl.ru/game/1369/897849/resume/
Северсталь,Динамо М,0:1 ОТ,https://www.khl.ru/game/1369/897841/resume/
ЦСКА,Торпедо,4:5 Б,https://www.khl.ru/game/1369/897842/resume/
Автомобилист,Металлург Мг,5:6,https://www.khl.ru/game/1369/897843/resume/
Сибирь,Спартак,6:7 ОТ,https://www.khl.ru/game/1369/897844/resume/
Ак Барс,Трактор,5:3,https://www.khl.ru/game/1369/897845/resume/
Драконы,Салават Юлаев,3:2,https://www.khl.ru/game/1369/897846/resume/
Амур,Динамо Мн,2:3 Б,https://www.khl.ru/game/1369/897838/resume/
Адмирал,ХК Сочи,2:4,https://www.khl.ru/game/1369/897839/resume/
Локомотив,СКА,3:4 ОТ,https://www.khl.ru/game/1369/897840/resume/
ЦСКА,Салават Юлаев,2:3 Б,https://www.khl.ru/game/1369/897834/resume/
Северсталь,Трактор,3:2,https://www.khl.ru/game/1369/897835/resume/
Сибирь,Барыс,4:1,https://www.khl.ru/game/1369/897836/resume/
Динамо М,Торпедо,4:0,https://www.khl.ru/game/1369/897837/resume/
Адмирал,Динамо Мн,1:4,https://www.khl.ru/game/1369/897831/resume/
Амур,ХК Сочи,0:1,https://www.khl.ru/game/1369/897832/resume/
Ак Барс,Драконы,4:1,https://www.khl.ru/game/1369/897833/resume/
Сибирь,Автомобилист,2:4,https://www.khl.ru/game/1369/897828/resume/
Металлург Мг,Барыс,5:2,https://www.khl.ru/game/1369/897829/resume/
Спартак,Лада,5:4,https://www.khl.ru/game/1369/897830/resume/
Ак Барс,СКА,5:2,https://www.khl.ru/game/1369/897823/resume/
Торпедо,Динамо Мн,1:2,https://www.khl.ru/game/1369/897824/resume/
Северсталь,Локомотив,2:0,https://www.khl.ru/game/1369/897825/resume/
Нефтехимик,Драконы,7:5,https://www.khl.ru/game/1369/897826/resume/
Трактор,ХК Сочи,6:1,https://www.khl.ru/game/1369/897827/resume/
Салават Юлаев,Барыс,7:4,https://www.khl.ru/game/1369/897819/resume/
Спартак,Автомобилист,3:1,https://www.khl.ru/game/1369/897820/resume/
Металлург Мг,Авангард,1:3,https://www.khl.ru/game/1369/897821/resume/
ЦСКА,Лада,4:2,https://www.khl.ru/game/1369/897822/resume/
Динамо М,Локомотив,1:0,https://www.khl.ru/game/1369/897815/resume/
Трактор,Драконы,9:0,https://www.khl.ru/game/1369/897816/resume/
Северсталь,СКА,4:6,https://www.khl.ru/game/1369/897817/resume/
Адмирал,Амур,4:1,https://www.khl.ru/game/1369/897818/resume/
Спартак,Ак Барс,1:0,https://www.khl.ru/game/1369/897812/resume/
ХК Сочи,Лада,3:5,https://www.khl.ru/game/1369/897813/resume/
Нефтехимик,Авангард,6:5,https://www.khl.ru/game/1369/897814/resume/
Динамо М,Амур,4:2,https://www.khl.ru/game/1369/897809/resume/
ЦСКА,СКА,1:4,https://www.khl.ru/game/1369/897810/resume/
Локомотив,Сибирь,4:1,https://www.khl.ru/game/1369/897811/resume/
Барыс,Авангард,2:5,https://www.khl.ru/game/1369/897805/resume/
Нефтехимик,Салават Юлаев,1:3,https://www.khl.ru/game/1369/897806/resume/
Драконы,Ак Барс,2:3 Б,https://www.khl.ru/game/1369/897807/resume/
Северсталь,Лада,2:0,https://www.khl.ru/game/1369/897808/resume/
ХК Сочи,Сибирь,1:2,https://www.khl.ru/game/1369/897801/resume/
Металлург Мг,Адмирал,4:3 Б,https://www.khl.ru/game/1369/897802/resume/
Динамо Мн,Спартак,6:0,https://www.khl.ru/game/1369/897803/resume/
Локомотив,Амур,4:6,https://www.khl.ru/game/1369/897804/resume/
Нефтехимик,Ак Барс,2:3,https://www.khl.ru/game/1369/897799/resume/
Барыс,Салават Юлаев,2:1,https://www.khl.ru/game/1369/897800/resume/
Трактор,Амур,4:6,https://www.khl.ru/game/1369/897793/resume/
Автомобилист,Металлург Мг,4:5,https://www.khl.ru/game/1369/897794/resume/
Динамо М,Сибирь,3:4 Б,https://www.khl.ru/game/1369/897795/resume/
Северсталь,Адмирал,3:2 ОТ,https://www.khl.ru/game/1369/897796/resume/
Торпедо,Спартак,4:3,https://www.khl.ru/game/1369/897797/resume/
Динамо Мн,ЦСКА,5:2,https://www.khl.ru/game/1369/897798/resume/
Локомотив,Драконы,3:4 ОТ,https://www.khl.ru/game/1369/897791/resume/
ХК Сочи,Салават Юлаев,2:1,https://www.khl.ru/game/1369/897792/resume/
Трактор,Металлург Мг,3:4,https://www.khl.ru/game/1369/897784/resume/
Северсталь,Динамо Мн,4:2,https://www.khl.ru/game/1369/897785/resume/
Ак Барс,ЦСКА,1:4,https://www.khl.ru/game/1369/897786/resume/
Динамо М,Спартак,2:4,https://www.khl.ru/game/1369/897787/resume/
Торпедо,Адмирал,1:2 Б,https://www.khl.ru/game/1369/897788/resume/
Лада,Авангард,0:3,https://www.khl.ru/game/1369/897789/resume/
Автомобилист,Нефтехимик,6:3,https://www.khl.ru/game/1369/897790/resume/
Сибирь,Драконы,0:3,https://www.khl.ru/game/1369/897781/resume/
ХК Сочи,Барыс,1:2 ОТ,https://www.khl.ru/game/1369/897782/resume/
Локомотив,Салават Юлаев,4:3 ОТ,https://www.khl.ru/game/1369/897783/resume/
Трактор,Автомобилист,1:5,https://www.khl.ru/game/1369/897774/resume/
Амур,Адмирал,2:5,https://www.khl.ru/game/1369/897775/resume/
Лада,Нефтехимик,2:1,https://www.khl.ru/game/1369/897776/resume/
Северсталь,ЦСКА,4:3 ОТ,https://www.khl.ru/game/1369/897777/resume/
Ак Барс,Динамо Мн,3:7,https://www.khl.ru/game/1369/897778/resume/
Торпедо,Авангард,2:6,https://www.khl.ru/game/1369/897779/resume/
СКА,Металлург Мг,4:3,https://www.khl.ru/game/1369/897780/resume/
ХК Сочи,Драконы,4:2,https://www.khl.ru/game/1369/897771/resume/
Локомотив,Барыс,0:4,https://www.khl.ru/game/1369/897772/resume/
Сибирь,Динамо М,2:3,https://www.khl.ru/game/1369/897773/resume/
Спартак,Северсталь,3:4,https://www.khl.ru/game/1369/897769/resume/
Нефтехимик,ЦСКА,3:2,https://www.khl.ru/game/1369/897770/resume/
Авангард,Трактор,3:2,https://www.khl.ru/game/1369/897767/resume/
Ак Барс,Динамо М,5:4,https://www.khl.ru/game/1369/897768/resume/
Спартак,Локомотив,3:6,https://www.khl.ru/game/1369/897762/resume/
Салават Юлаев,СКА,2:1,https://www.khl.ru/game/1369/897763/resume/
Торпедо,ХК Сочи,5:3,https://www.khl.ru/game/1369/897764/resume/
Динамо Мн,Сибирь,7:0,https://www.khl.ru/game/1369/897765/resume/
Металлург Мг,Лада,6:4,https://www.khl.ru/game/1369/897766/resume/
Амур,Трактор,1:2 ОТ,https://www.khl.ru/game/1369/897760/resume/
Адмирал,Автомобилист,4:2,https://www.khl.ru/game/1369/897761/resume/
Спартак,Сибирь,6:3,https://www.khl.ru/game/1369/897752/resume/
Нефтехимик,Ак Барс,1:4,https://www.khl.ru/game/1369/897753/resume/
Торпедо,Локомотив,2:1,https://www.khl.ru/game/1369/897754/resume/
Авангард,СКА,0:1,https://www.khl.ru/game/1369/897755/resume/
Салават Юлаев,Лада,3:5,https://www.khl.ru/game/1369/897756/resume/
Динамо Мн,ХК Сочи,5:2,https://www.khl.ru/game/1369/897757/resume/
ЦСКА,Северсталь,2:0,https://www.khl.ru/game/1369/897758/resume/
Динамо М,Драконы,1:4,https://www.khl.ru/game/1369/897759/resume/
Амур,Автомобилист,3:0,https://www.khl.ru/game/1369/897749/resume/
Барыс,Металлург Мг,1:4,https://www.khl.ru/game/1369/897750/resume/
Адмирал,Трактор,1:3,https://www.khl.ru/game/1369/897751/resume/
Драконы,Северсталь,2:4,https://www.khl.ru/game/1369/897744/resume/
Локомотив,Ак Барс,3:1,https://www.khl.ru/game/1369/897745/resume/
ЦСКА,Сибирь,4:0,https://www.khl.ru/game/1369/897746/resume/
Динамо Мн,Лада,0:1,https://www.khl.ru/game/1369/897747/resume/
Динамо М,СКА,2:3,https://www.khl.ru/game/1369/897748/resume/
Амур,Металлург Мг,1:3,https://www.khl.ru/game/1369/897740/resume/
Нефтехимик,Салават Юлаев,1:0,https://www.khl.ru/game/1369/897741/resume/
Барыс,Автомобилист,3:2 ОТ,https://www.khl.ru/game/1369/897742/resume/
Адмирал,Авангард,2:1 ОТ,https://www.khl.ru/game/1369/897743/resume/
СКА,Драконы,3:2 ОТ,https://www.khl.ru/game/1369/897730/resume/
Динамо М,Лада,4:3 Б,https://www.khl.ru/game/1369/897735/resume/
ЦСКА,Торпедо,1:2,https://www.khl.ru/game/1369/897736/resume/
Локомотив,Спартак,5:2,https://www.khl.ru/game/1369/897737/resume/
Динамо Мн,Ак Барс,4:3,https://www.khl.ru/game/1369/897738/resume/
ХК Сочи,Северсталь,4:5 ОТ,https://www.khl.ru/game/1369/897739/resume/
Амур,Авангард,3:2 ОТ,https://www.khl.ru/game/1369/897731/resume/
Адмирал,Металлург Мг,1:2,https://www.khl.ru/game/1369/897732/resume/
Барыс,Салават Юлаев,1:2,https://www.khl.ru/game/1369/897733/resume/
Трактор,Нефтехимик,3:4,https://www.khl.ru/game/1369/897734/resume/
СКА,Динамо М,1:2,https://www.khl.ru/game/1369/897726/resume/
Сибирь,Торпедо,3:4 Б,https://www.khl.ru/game/1369/897728/resume/
ХК Сочи,Спартак,0:1 ОТ,https://www.khl.ru/game/1369/897729/resume/
Динамо Мн,ЦСКА,2:0,https://www.khl.ru/game/1369/897724/resume/
Металлург Мг,Драконы,6:1,https://www.khl.ru/game/1369/897725/resume/
Барыс,Нефтехимик,2:5,https://www.khl.ru/game/1369/897727/resume/
Трактор,Сибирь,4:3,https://www.khl.ru/game/1369/897719/resume/
Автомобилист,Торпедо,0:2,https://www.khl.ru/game/1369/897720/resume/
Салават Юлаев,Локомотив,1:4,https://www.khl.ru/game/1369/897721/resume/
Амур,Адмирал,3:2,https://www.khl.ru/game/1369/897722/resume/
ХК Сочи,Спартак,5:2,https://www.khl.ru/game/1369/897723/resume/
Динамо М,ЦСКА,3:2,https://www.khl.ru/game/1369/897715/resume/
Ак Барс,Лада,3:4 ОТ,https://www.khl.ru/game/1369/897716/resume/
Северсталь,Драконы,3:6,https://www.khl.ru/game/1369/897717/resume/
Авангард,Нефтехимик,2:1,https://www.khl.ru/game/1369/897718/resume/
Локомотив,СКА,3:2,https://www.khl.ru/game/1369/897664/resume/
Автомобилист,Сибирь,7:1,https://www.khl.ru/game/1369/897711/resume/
Трактор,Барыс,6:3,https://www.khl.ru/game/1369/897712/resume/
Салават Юлаев,Адмирал,5:0,https://www.khl.ru/game/1369/897713/resume/
Северсталь,Динамо М,0:3,https://www.khl.ru/game/1369/897708/resume/
Динамо Мн,Амур,6:2,https://www.khl.ru/game/1369/897709/resume/
Торпедо,Лада,2:0,https://www.khl.ru/game/1369/897710/resume/
СКА,Сибирь,3:2,https://www.khl.ru/game/1369/897704/resume/
Салават Юлаев,Адмирал,6:1,https://www.khl.ru/game/1369/897705/resume/
Ак Барс,Металлург Мг,4:0,https://www.khl.ru/game/1369/897706/resume/
Авангард,Барыс,4:3,https://www.khl.ru/game/1369/897707/resume/
Динамо Мн,ХК Сочи,8:2,https://www.khl.ru/game/1369/897698/resume/
Спартак,ЦСКА,3:2,https://www.khl.ru/game/1369/897699/resume/
Локомотив,Лада,3:2,https://www.khl.ru/game/1369/897700/resume/
Драконы,Динамо М,1:5,https://www.khl.ru/game/1369/897701/resume/
Трактор,Автомобилист,1:2 Б,https://www.khl.ru/game/1369/897702/resume/
Северсталь,Амур,6:2,https://www.khl.ru/game/1369/897703/resume/
Нефтехимик,Барыс,3:2,https://www.khl.ru/game/1369/897695/resume/
Авангард,Металлург Мг,1:4,https://www.khl.ru/game/1369/897696/resume/
Ак Барс,Адмирал,3:2 ОТ,https://www.khl.ru/game/1369/897697/resume/
ЦСКА,Амур,2:1,https://www.khl.ru/game/1369/897691/resume/
Торпедо,Автомобилист,7:4,https://www.khl.ru/game/1369/897692/resume/
Северсталь,Драконы,4:1,https://www.khl.ru/game/1369/897693/resume/
Спартак,ХК Сочи,5:3,https://www.khl.ru/game/1369/897694/resume/
Сибирь,Трактор,3:4 Б,https://www.khl.ru/game/1369/897688/resume/
Нефтехимик,Салават Юлаев,1:2,https://www.khl.ru/game/1369/897689/resume/
Ак Барс,Адмирал,5:3,https://www.khl.ru/game/1369/897690/resume/
Лада,Торпедо,3:2 Б,https://www.khl.ru/game/1369/897684/resume/
СКА,ХК Сочи,8:1,https://www.khl.ru/game/1369/897685/resume/
Динамо Мн,Драконы,2:1 Б,https://www.khl.ru/game/1369/897686/resume/
Барыс,Амур,3:1,https://www.khl.ru/game/1369/897687/resume/
Сибирь,Салават Юлаев,2:5,https://www.khl.ru/game/1369/897679/resume/
Спартак,Динамо М,0:5,https://www.khl.ru/game/1369/897680/resume/
Авангард,Северсталь,3:4 ОТ,https://www.khl.ru/game/1369/897681/resume/
Автомобилист,Трактор,5:3,https://www.khl.ru/game/1369/897682/resume/
Нефтехимик,Металлург Мг,5:3,https://www.khl.ru/game/1369/897683/resume/
Ак Барс,Локомотив,1:0,https://www.khl.ru/game/1369/897675/resume/
СКА,ЦСКА,3:4,https://www.khl.ru/game/1369/897676/resume/
ХК Сочи,Торпедо,1:3,https://www.khl.ru/game/1369/897677/resume/
Лада,Динамо Мн,0:4,https://www.khl.ru/game/1369/897678/resume/
Сибирь,Металлург Мг,1:2 ОТ,https://www.khl.ru/game/1369/897671/resume/
Салават Юлаев,Трактор,3:2,https://www.khl.ru/game/1369/897672/resume/
Спартак,Драконы,7:6 Б,https://www.khl.ru/game/1369/897673/resume/
Адмирал,Северсталь,1:4,https://www.khl.ru/game/1369/897674/resume/
Динамо М,Локомотив,2:3,https://www.khl.ru/game/1369/897669/resume/
ЦСКА,Динамо Мн,5:3,https://www.khl.ru/game/1369/897670/resume/
Металлург Мг,Нефтехимик,9:6,https://www.khl.ru/game/1369/897665/resume/
Авангард,Автомобилист,3:2 ОТ,https://www.khl.ru/game/1369/897666/resume/
Амур,Северсталь,2:3 Б,https://www.khl.ru/game/1369/897667/resume/
Торпедо,Лада,5:3,https://www.khl.ru/game/1369/897668/resume/
Барыс,Ак Барс,2:3 Б,https://www.khl.ru/game/1369/897662/resume/
Трактор,Салават Юлаев,2:1,https://www.khl.ru/game/1369/897663/resume/
СКА,Локомотив,1:3,https://www.khl.ru/game/1369/897714/resume/
Динамо Мн,Нефтехимик,3:4 ОТ,https://www.khl.ru/game/1369/897656/resume/
Амур,Лада,3:0,https://www.khl.ru/game/1369/897657/resume/
ХК Сочи,Автомобилист,2:3 ОТ,https://www.khl.ru/game/1369/897658/resume/
Адмирал,Спартак,3:4 Б,https://www.khl.ru/game/1369/897659/resume/
Торпедо,ЦСКА,0:1,https://www.khl.ru/game/1369/897660/resume/
Металлург Мг,Салават Юлаев,6:4,https://www.khl.ru/game/1369/897652/resume/
Драконы,Динамо М,2:3 Б,https://www.khl.ru/game/1369/897653/resume/
Сибирь,Ак Барс,1:4,https://www.khl.ru/game/1369/897654/resume/
Барыс,Авангард,6:2,https://www.khl.ru/game/1369/897655/resume/
Адмирал,Лада,6:1,https://www.khl.ru/game/1369/897647/resume/
СКА,Нефтехимик,2:3 Б,https://www.khl.ru/game/1369/897648/resume/
Амур,Спартак,4:3,https://www.khl.ru/game/1369/897649/resume/
Северсталь,Автомобилист,2:0,https://www.khl.ru/game/1369/897650/resume/
Локомотив,ЦСКА,4:1,https://www.khl.ru/game/1369/897651/resume/
Барыс,Сибирь,3:4 Б,https://www.khl.ru/game/1369/897643/resume/
Динамо Мн,Торпедо,7:1,https://www.khl.ru/game/1369/897644/resume/
Салават Юлаев,Ак Барс,1:4,https://www.khl.ru/game/1369/897645/resume/
Трактор,Авангард,5:8,https://www.khl.ru/game/1369/897646/resume/
Драконы,Динамо М,3:2,https://www.khl.ru/game/1369/897661/resume/
СКА,Автомобилист,2:1,https://www.khl.ru/game/1369/897641/resume/
Северсталь,Локомотив,4:3,https://www.khl.ru/game/1369/897642/resume/
Нефтехимик,Сибирь,2:3 Б,https://www.khl.ru/game/1369/897637/resume/
Металлург Мг,Авангард,1:5,https://www.khl.ru/game/1369/897638/resume/
Барыс,Торпедо,3:5,https://www.khl.ru/game/1369/897639/resume/
ЦСКА,Ак Барс,2:3,https://www.khl.ru/game/1369/897640/resume/
Драконы,Динамо Мн,2:1,https://www.khl.ru/game/1369/897549/resume/
Трактор,Локомотив,3:1,https://www.khl.ru/game/1369/897636/resume/
Автомобилист,Авангард,3:0,https://www.khl.ru/game/1369/897630/resume/
Металлург Мг,Торпедо,4:1,https://www.khl.ru/game/1369/897631/resume/
Спартак,Салават Юлаев,2:1,https://www.khl.ru/game/1369/897632/resume/
Лада,Сибирь,4:2,https://www.khl.ru/game/1369/897633/resume/
Динамо М,ЦСКА,4:3 Б,https://www.khl.ru/game/1369/897634/resume/
Нефтехимик,Амур,1:4,https://www.khl.ru/game/1369/897626/resume/
Драконы,Динамо Мн,3:2,https://www.khl.ru/game/1369/897627/resume/
Трактор,Барыс,3:2 ОТ,https://www.khl.ru/game/1369/897628/resume/
Северсталь,ХК Сочи,3:0,https://www.khl.ru/game/1369/897629/resume/
Автомобилист,СКА,2:1 ОТ,https://www.khl.ru/game/1369/897624/resume/
Динамо М,Салават Юлаев,4:1,https://www.khl.ru/game/1369/897625/resume/
Спартак,Драконы,3:0,https://www.khl.ru/game/1369/897619/resume/
Нефтехимик,Амур,1:2,https://www.khl.ru/game/1369/897620/resume/
Ак Барс,Барыс,4:3,https://www.khl.ru/game/1369/897621/resume/
Торпедо,Металлург Мг,1:5,https://www.khl.ru/game/1369/897622/resume/
Лада,ХК Сочи,3:1,https://www.khl.ru/game/1369/897623/resume/
Динамо Мн,Трактор,4:1,https://www.khl.ru/game/1369/897616/resume/
Авангард,Автомобилист,1:4,https://www.khl.ru/game/1369/897617/resume/
Локомотив,СКА,4:2,https://www.khl.ru/game/1369/897618/resume/
Спартак,Металлург Мг,2:6,https://www.khl.ru/game/1369/897609/resume/
Салават Юлаев,ХК Сочи,3:1,https://www.khl.ru/game/1369/897610/resume/
Торпедо,Динамо М,1:4,https://www.khl.ru/game/1369/897611/resume/
Сибирь,Барыс,1:0 Б,https://www.khl.ru/game/1369/897612/resume/
ЦСКА,Северсталь,3:2,https://www.khl.ru/game/1369/897613/resume/
Ак Барс,Амур,3:1,https://www.khl.ru/game/1369/897614/resume/
Лада,Адмирал,1:2 ОТ,https://www.khl.ru/game/1369/897615/resume/
Нефтехимик,Автомобилист,2:5,https://www.khl.ru/game/1369/897607/resume/
Драконы,Трактор,5:4 ОТ,https://www.khl.ru/game/1369/897608/resume/
ХК Сочи,Адмирал,4:5,https://www.khl.ru/game/1369/897601/resume/
Спартак,СКА,3:1,https://www.khl.ru/game/1369/897602/resume/
Ак Барс,Амур,5:1,https://www.khl.ru/game/1369/897603/resume/
Торпедо,Северсталь,3:5,https://www.khl.ru/game/1369/897604/resume/
Авангард,Локомотив,4:1,https://www.khl.ru/game/1369/897605/resume/
ЦСКА,Металлург Мг,1:3,https://www.khl.ru/game/1369/897606/resume/
Нефтехимик,Лада,1:4,https://www.khl.ru/game/1369/897599/resume/
Динамо М,Трактор,3:2 Б,https://www.khl.ru/game/1369/897600/resume/
Салават Юлаев,Сибирь,5:2,https://www.khl.ru/game/1369/897593/resume/
Авангард,Адмирал,6:1,https://www.khl.ru/game/1369/897594/resume/
Автомобилист,Амур,3:1,https://www.khl.ru/game/1369/897595/resume/
Барыс,Локомотив,1:5,https://www.khl.ru/game/1369/897596/resume/
Динамо Мн,Северсталь,2:5,https://www.khl.ru/game/1369/897598/resume/
СКА,Торпедо,2:3 ОТ,https://www.khl.ru/game/1369/897880/resume/
Спартак,Трактор,6:3,https://www.khl.ru/game/1369/897591/resume/
ХК Сочи,Лада,4:0,https://www.khl.ru/game/1369/897592/resume/
Динамо Мн,Локомотив,3:2 Б,https://www.khl.ru/game/1369/897585/resume/
Динамо М,Нефтехимик,2:3,https://www.khl.ru/game/1369/897586/resume/
Барыс,Адмирал,3:0,https://www.khl.ru/game/1369/897587/resume/
Металлург Мг,Сибирь,4:3,https://www.khl.ru/game/1369/897588/resume/
СКА,Торпедо,2:5,https://www.khl.ru/game/1369/897589/resume/
Автомобилист,Ак Барс,4:1,https://www.khl.ru/game/1369/897590/resume/
Спартак,Драконы,1:3,https://www.khl.ru/game/1369/897584/resume/
ЦСКА,Лада,7:2,https://www.khl.ru/game/1369/898237/resume/
ХК Сочи,СКА,2:4,https://www.khl.ru/game/1369/897548/resume/
Барыс,Сибирь,6:4,https://www.khl.ru/game/1369/897580/resume/
Металлург Мг,Ак Барс,3:4,https://www.khl.ru/game/1369/897581/resume/
Салават Юлаев,Авангард,2:5,https://www.khl.ru/game/1369/897582/resume/
Торпедо,Нефтехимик,1:2,https://www.khl.ru/game/1369/897583/resume/
Лада,Драконы,1:4,https://www.khl.ru/game/1369/897577/resume/
Локомотив,Автомобилист,3:2 ОТ,https://www.khl.ru/game/1369/897578/resume/
Динамо Мн,Северсталь,4:2,https://www.khl.ru/game/1369/897579/resume/
Барыс,Ак Барс,1:2,https://www.khl.ru/game/1369/897574/resume/
Трактор,Авангард,5:1,https://www.khl.ru/game/1369/897575/resume/
Амур,ЦСКА,2:0,https://www.khl.ru/game/1369/897576/resume/
Нефтехимик,Автомобилист,5:2,https://www.khl.ru/game/1369/897568/resume/
Динамо Мн,Торпедо,3:2,https://www.khl.ru/game/1369/897569/resume/
Локомотив,Северсталь,2:1,https://www.khl.ru/game/1369/897570/resume/
Динамо М,Драконы,3:2 ОТ,https://www.khl.ru/game/1369/897571/resume/
Сибирь,Салават Юлаев,3:2 Б,https://www.khl.ru/game/1369/897572/resume/
Лада,ХК Сочи,4:5 Б,https://www.khl.ru/game/1369/897573/resume/
Адмирал,ЦСКА,4:5,https://www.khl.ru/game/1369/897565/resume/
СКА,Авангард,2:4,https://www.khl.ru/game/1369/897566/resume/
Металлург Мг,Спартак,3:2 ОТ,https://www.khl.ru/game/1369/897567/resume/
Драконы,Торпедо,1:0 ОТ,https://www.khl.ru/game/1369/897560/resume/
Динамо Мн,Барыс,1:0 ОТ,https://www.khl.ru/game/1369/897561/resume/
Амур,Динамо М,1:3,https://www.khl.ru/game/1369/897562/resume/
Локомотив,ХК Сочи,5:0,https://www.khl.ru/game/1369/897563/resume/
Сибирь,Северсталь,2:4,https://www.khl.ru/game/1369/897564/resume/
Лада,СКА,0:3,https://www.khl.ru/game/1369/897555/resume/
Трактор,Спартак,3:5,https://www.khl.ru/game/1369/897556/resume/
Металлург Мг,ЦСКА,5:4,https://www.khl.ru/game/1369/897557/resume/
Ак Барс,Авангард,1:6,https://www.khl.ru/game/1369/897558/resume/
Автомобилист,Нефтехимик,1:4,https://www.khl.ru/game/1369/897559/resume/
Адмирал,Динамо М,3:4 Б,https://www.khl.ru/game/1369/897553/resume/
Северсталь,Барыс,3:2,https://www.khl.ru/game/1369/897554/resume/
Автомобилист,Спартак,5:4 Б,https://www.khl.ru/game/1369/897547/resume/
Амур,Сибирь,0:1,https://www.khl.ru/game/1369/897550/resume/
Трактор,Нефтехимик,3:2,https://www.khl.ru/game/1369/897551/resume/
Ак Барс,Салават Юлаев,3:1,https://www.khl.ru/game/1369/897552/resume/
СКА,Динамо Мн,3:2 ОТ,https://www.khl.ru/game/1369/897635/resume/
ЦСКА,Локомотив,1:5,https://www.khl.ru/game/1369/897544/resume/
Металлург Мг,Барыс,5:1,https://www.khl.ru/game/1369/897545/resume/
Лада,Торпедо,1:5,https://www.khl.ru/game/1369/897546/resume/
Автомобилист,Трактор,0:2,https://www.khl.ru/game/1369/897539/resume/
Амур,Сибирь,3:4 Б,https://www.khl.ru/game/1369/897540/resume/
Ак Барс,Нефтехимик,1:2,https://www.khl.ru/game/1369/897541/resume/
Авангард,Салават Юлаев,3:2 ОТ,https://www.khl.ru/game/1369/897542/resume/
Адмирал,Драконы,4:0,https://www.khl.ru/game/1369/897543/resume/
Лада,Локомотив,1:6,https://www.khl.ru/game/1369/897535/resume/
Северсталь,Металлург Мг,2:5,https://www.khl.ru/game/1369/897536/resume/
ЦСКА,Спартак,5:6 Б,https://www.khl.ru/game/1369/897537/resume/
ХК Сочи,Торпедо,0:3,https://www.khl.ru/game/1369/897538/resume/
Автомобилист,Салават Юлаев,4:2,https://www.khl.ru/game/1369/897530/resume/
Авангард,Динамо Мн,5:4 Б,https://www.khl.ru/game/1369/897531/resume/
Амур,Драконы,5:4,https://www.khl.ru/game/1369/897532/resume/
